,rmse,mae,pnsr,ssim,ms_ssim,std,Date,bathy,Tide,Hs_m,Tp_m,Dir_m,rip
96,0.59047014,0.38735855,24.144789,0.7167242,0.9163644,9.359354e-09,2018-01-28 15:00:00,2018-01-31,3.09,1.7899999599903822,12.42999972216785,307.5,1
97,0.5934892,0.39612225,24.10049,0.7080414,0.915056,9.2501296e-09,2018-01-28 15:15:00,2018-01-31,2.93,1.7899999599903822,12.42999972216785,307.5,1
98,0.5610899,0.3812954,24.588097,0.70271367,0.91612893,9.622141e-09,2018-01-28 15:45:00,2018-01-31,2.57,1.7899999599903822,12.42999972216785,307.5,1
99,0.66162175,0.43359497,23.156551,0.67458403,0.9010684,9.666508e-09,2018-01-28 16:00:00,2018-01-31,2.38,1.8699999582022429,12.42999972216785,307.5,1
100,0.6078651,0.4155002,23.892603,0.6729263,0.90601563,9.795002e-09,2018-01-28 16:15:00,2018-01-31,2.2,1.8699999582022429,12.42999972216785,307.5,1
101,0.6033256,0.3792298,23.95771,0.7194088,0.9150723,1.1189741e-08,2018-01-28 16:30:00,2018-01-31,2.02,1.8699999582022429,12.42999972216785,307.5,1
102,0.58932626,0.40235403,24.16163,0.68901473,0.90843904,1.1345918e-08,2018-01-28 16:45:00,2018-01-31,1.86,1.8699999582022429,12.42999972216785,307.5,1
103,0.5768325,0.40063953,24.347752,0.6732212,0.9105087,1.2331128e-08,2018-01-28 17:15:00,2018-01-31,1.57,1.919999957084656,12.379999723285437,307.5,1
104,0.68978953,0.47720388,22.794415,0.6354475,0.883005,1.1998566e-08,2018-01-29 08:45:00,2018-01-31,1.21,1.959999956190586,12.81999971345067,307.5,1
105,0.6080676,0.41333497,23.88971,0.6783619,0.9055968,1.1719976e-08,2018-01-29 09:00:00,2018-01-31,1.34,1.959999956190586,12.81999971345067,307.5,1
106,0.5782749,0.40353984,24.32606,0.6779432,0.9123975,1.1514118e-08,2018-01-29 09:15:00,2018-01-31,1.48,1.959999956190586,12.81999971345067,307.5,1
107,0.47536895,0.34352675,26.02813,0.7349613,0.9321175,1.1728957e-08,2018-01-29 09:30:00,2018-01-31,1.64,1.959999956190586,12.81999971345067,307.5,1
108,0.5123703,0.37198508,25.377068,0.6941258,0.91956455,1.0991698e-08,2018-01-29 10:00:00,2018-01-31,1.99,1.959999956190586,12.879999712109566,307.5,1
109,0.45156112,0.346031,26.474415,0.7041849,0.92470056,1.1030323e-08,2018-01-29 10:15:00,2018-01-31,2.18,1.959999956190586,12.879999712109566,307.5,1
110,0.39861867,0.29670504,27.557594,0.742232,0.93541455,1.1700621e-08,2018-01-29 10:30:00,2018-01-31,2.37,1.959999956190586,12.879999712109566,307.5,1
111,0.35604936,0.2672252,28.538542,0.7587208,0.94318014,1.1428568e-08,2018-01-29 10:45:00,2018-01-31,2.56,1.959999956190586,12.879999712109566,307.5,1
112,0.3584798,0.26225233,28.479452,0.7797679,0.9499988,1.1360555e-08,2018-01-29 11:00:00,2018-01-31,2.75,1.9499999564141035,12.899999711662533,307.5,1
113,0.34995744,0.25455907,28.688442,0.8036794,0.95177466,1.2055011e-08,2018-01-29 11:15:00,2018-01-31,2.93,1.9499999564141035,12.899999711662533,307.5,1
114,0.37934163,0.27356446,27.988136,0.81355876,0.94961905,1.2008201e-08,2018-01-29 11:30:00,2018-01-31,3.11,1.9499999564141035,12.899999711662533,307.5,1
